moderator,model,or,or_lo,or_hi,p,p_holm
difficulty,Qwen/Qwen2.5-14B-Instruct,1.375299150013189,0.33713997151321773,5.610274401867669,0.6568615685662309,1.0
difficulty,Qwen/Qwen2.5-32B-Instruct,1.6856948393345046,0.6544232874859552,4.342093482454144,0.2794007859063665,1.0
difficulty,Qwen/Qwen2.5-3B-Instruct,0.650509807580572,0.2252917506840622,1.8782889674106855,0.42672539360698114,1.0
difficulty,Qwen/Qwen2.5-7B-Instruct,0.8642167203820565,0.3479499493292788,2.146488428084594,0.7532249364897451,1.0
difficulty,google/gemma-2-9b-it,0.9026793067081577,0.3520368283071647,2.3146155891625972,0.8312365623427509,1.0
difficulty,meta-llama/Meta-Llama-3.1-8B-Instruct,0.3456529432158985,0.10652240533553572,1.1216040116393817,0.07691446822594791,1.0
source_injected,Qwen/Qwen2.5-14B-Instruct,0.6201067950212449,0.053759609514151326,7.152813063686754,0.7017140201112015,1.0
source_injected,Qwen/Qwen2.5-32B-Instruct,0.43989925615846254,0.16790812112184603,1.1524835980288477,0.09469032674807364,1.0
source_injected,Qwen/Qwen2.5-3B-Instruct,0.3328197226502312,0.09335588599734626,1.186523662665743,0.08983552620784557,1.0
source_injected,Qwen/Qwen2.5-7B-Instruct,0.6003898635477575,0.19397559982875864,1.8583161416648049,0.37615078157273696,1.0
source_injected,google/gemma-2-9b-it,0.083883819863173,0.024863779345116976,0.2830018372174446,6.482452191776076e-05,0.0011668413945196937
source_injected,meta-llama/Meta-Llama-3.1-8B-Instruct,0.17305707149457164,0.04441223373828661,0.6743355934484164,0.01147888413089325,0.19514103022518525
diff_lines_z,Qwen/Qwen2.5-14B-Instruct,0.6781552783529601,0.3699729921313431,1.2430490639563085,0.20903202623219896,1.0
diff_lines_z,Qwen/Qwen2.5-32B-Instruct,0.6279506381638177,0.40882192940297024,0.9645324176865963,0.033596834728267154,0.5039525209240073
diff_lines_z,Qwen/Qwen2.5-3B-Instruct,1.0762305103302487,0.5753497105355709,2.013161891204424,0.8181507513823634,1.0
diff_lines_z,Qwen/Qwen2.5-7B-Instruct,1.3705989641555345,0.8758974123373472,2.144704955265599,0.1676047332152929,1.0
diff_lines_z,google/gemma-2-9b-it,1.8105221698942924,1.074435500691532,3.0508955870956838,0.02577210256549429,0.4123536410479086
diff_lines_z,meta-llama/Meta-Llama-3.1-8B-Instruct,1.0876326345959055,0.5442460285827138,2.173547781172736,0.8120349345963108,1.0
