model,d_prime_hedged,d_prime_claims,delta_d_prime,delta_d_lo,delta_d_hi,criterion_hedged,criterion_claims,delta_criterion,delta_c_lo,delta_c_hi,reading
Qwen/Qwen2.5-14B-Instruct,0.4082,0.9346,0.5263,-0.641,1.0255,-1.5721,-2.4121,-0.84,-1.3027,-0.1845,neither clearly
Qwen/Qwen2.5-32B-Instruct,0.892,0.8436,-0.0484,-0.3058,0.2149,-1.0028,-0.9212,0.0816,-0.0514,0.2196,neither clearly
Qwen/Qwen2.5-3B-Instruct,-0.0689,-0.1681,-0.0992,-0.3664,0.1693,-0.8029,-0.3158,0.4871,0.3334,0.6894,criterion shift (lower bar)
Qwen/Qwen2.5-72B-Instruct,1.3096,1.1798,-0.1298,-0.3336,0.0263,-0.2113,-0.1131,0.0982,-0.0404,0.272,neither clearly
Qwen/Qwen2.5-7B-Instruct,0.3265,0.338,0.0115,-0.1745,0.1918,-0.3136,-0.4837,-0.1701,-0.3453,-0.0112,neither clearly
google/gemma-2-9b-it,0.2544,0.2277,-0.0267,-0.2427,0.1918,0.3385,0.6019,0.2635,0.0951,0.4531,criterion shift (lower bar)
meta-llama/Llama-3.3-70B-Instruct,0.8355,0.8742,0.0387,-0.1845,0.2701,0.3778,0.2156,-0.1622,-0.317,-0.0359,neither clearly
meta-llama/Meta-Llama-3.1-8B-Instruct,0.2505,0.2203,-0.0301,-0.1529,0.1014,-0.0352,-0.0402,-0.005,-0.1157,0.1065,neither clearly
