arm,mean_L_A,mean_L_arm,reduction_pct,reduction_lo,reduction_hi,lift_includes_0,n_sig_holm,n_models,efficacy_label,cost_label,delta_good_pts,spec_guard,overall,c_bad_appr,a_hedged_bad,bad_gap_pts,bad_gap_lo,bad_gap_hi,c_good_appr,a_hedged_good,good_gap_pts,good_gap_lo,good_gap_hi,good_drop_pts,ceiling_label
B,20.95,1.3,93.8,83.8,104.3,True,6.0,8.0,Strong success,Over-correction (fails cost),-18.6,FAIL,negative result,,,,,,,,,,,,
B2,20.95,2.4,88.5,79.6,97.1,False,7.0,8.0,Success,Over-correction (fails cost),-18.8,FAIL,negative result,,,,,,,,,,,,
C,,,,,,,,,,,,,,40.6,37.8,2.9,0.4,5.3,61.1,55.6,5.5,2.2,8.9,-5.5,Unexpected (description was protective)
