model,d_prime_hedged,d_prime_claims,delta_d_prime,delta_d_ci_lo,delta_d_ci_hi,bar_lowered_by,bar_lowered_ci_lo,bar_lowered_ci_hi
Qwen2.5-72B-Instruct,1.4706,1.4736,0.003,-0.3543,0.5042,0.5292,0.2911,0.8785
Llama-3.3-70B-Instruct,0.8004,0.8718,0.0714,-0.247,0.5284,0.4477,0.2341,0.7851
Qwen2.5-32B-Instruct,0.6599,0.8293,0.1694,-0.3241,0.643,0.6044,0.4061,0.8577
Qwen2.5-14B-Instruct,0.1402,0.3667,0.2265,-0.2342,0.707,0.4976,0.2684,0.8283
gemma-2-9b-it,0.3294,0.1752,-0.1542,-0.4149,0.1099,0.5599,0.3362,0.8579
Meta-Llama-3.1-8B-Instruct,0.366,0.4216,0.0556,-0.303,0.5098,0.695,0.4504,1.0652
Qwen2.5-7B-Instruct,0.4229,0.3126,-0.1103,-0.4242,0.2133,0.6261,0.4144,0.8932
Qwen2.5-3B-Instruct,-0.0347,-0.094,-0.0593,-0.4207,0.3064,1.1085,0.8442,1.435
