outcome,model,term,or,or_lo,or_hi,p,cl_or,cl_p,p_holm
approved,claude-sonnet-4-6,cond[confident],0.929378531073445,0.8233050567047785,1.0491183638265407,0.23622378004172961,0.0034793928114597254,0.7200813592571604,0.7086713401251838
approved,claude-sonnet-4-6,cond[confident_extra_neutral],0.9293785310734447,0.8233050567047783,1.0491183638265402,0.23622378004172795,0.0034793928114598273,0.7200813559589554,0.7086713401251838
approved,claude-sonnet-4-6,cond[unsupported_claims],0.7210599721059915,0.3921706022067834,1.3257686334666825,0.2925900539228099,0.0002784155494886503,0.6041642282321764,0.7086713401251838
