model,condition,mean_pyes_bad,mean_pyes_good,d_prime_belief,level,auc,var_ratio
Qwen/Qwen2.5-72B-Instruct,hedged,0.4548,0.0934,1.0119,0.2741,0.816,0.554
Qwen/Qwen2.5-72B-Instruct,confident,0.4438,0.0809,1.0461,0.2624,0.8176,0.519
Qwen/Qwen2.5-72B-Instruct,confident_extra_neutral,0.4222,0.0667,1.0507,0.2445,0.8116,0.456
Qwen/Qwen2.5-72B-Instruct,unsupported_claims,0.3772,0.0593,0.9324,0.2183,0.8072,0.421
meta-llama/Llama-3.3-70B-Instruct,hedged,0.8213,0.6526,0.4503,0.7369,0.696,1.171
meta-llama/Llama-3.3-70B-Instruct,confident,0.8331,0.6397,0.5157,0.7364,0.7108,1.249
meta-llama/Llama-3.3-70B-Instruct,confident_extra_neutral,0.8355,0.671,0.4531,0.7532,0.6976,1.216
meta-llama/Llama-3.3-70B-Instruct,unsupported_claims,0.6504,0.3635,0.6782,0.507,0.7036,0.916
