model,d_prime_belief_hedged,d_prime_belief_claims,delta_d_belief,delta_d_lo,delta_d_hi,auc_hedged,auc_claims,delta_auc,delta_auc_lo,delta_auc_hi,level_hedged,level_claims,delta_level,delta_level_lo,delta_level_hi,reading
Qwen/Qwen2.5-72B-Instruct,1.0119,0.9324,-0.0795,-0.2538,0.0619,0.816,0.8072,-0.0088,-0.0272,0.0108,0.2741,0.2183,-0.0558,-0.0849,-0.0317,uniform belief drop (lower bar)
meta-llama/Llama-3.3-70B-Instruct,0.4503,0.6782,0.2278,-0.0832,0.5346,0.696,0.7036,0.0076,-0.034,0.0456,0.7369,0.507,-0.23,-0.2945,-0.1669,uniform belief drop (lower bar)
