outcome,model,term,or,or_lo,or_hi,p,cl_or,cl_p,p_holm
approved,meta-llama/Meta-Llama-3.1-8B-Instruct,cond[unsupported_claims],3.1728016359918216,1.863843129953453,5.401028691509988,2.100125702723043e-05,39.27697808776857,4.227570634048733e-13,0.00031501885540845644
detected,Qwen/Qwen2.5-14B-Instruct,cond[confident],0.8934659090909092,0.7243513216667062,1.1020637456294389,0.2927091293914107,0.6858299552527887,0.28936708043470305,1.0
detected,Qwen/Qwen2.5-14B-Instruct,cond[confident_extra_neutral],1.0811688311688312,0.7931194392072146,1.4738335535684393,0.621516451600434,1.2953974667166324,0.47239859104630466,1.0
detected,Qwen/Qwen2.5-14B-Instruct,cond[unsupported_claims],0.8308982683982684,0.6160258701394529,1.1207190572547763,0.22496719307807278,0.5359320088398687,0.08002620194672677,1.0
detected,Qwen/Qwen2.5-32B-Instruct,cond[confident],0.8354180381830156,0.5881520165553884,1.1866376019741702,0.3152466620371719,0.5336029910676552,0.11688712806582845,1.0
detected,Qwen/Qwen2.5-32B-Instruct,cond[confident_extra_neutral],0.9120337790288535,0.6099022013156541,1.363834418526966,0.6537863977308248,0.7230670583171757,0.4217247709592724,1.0
detected,Qwen/Qwen2.5-32B-Instruct,cond[unsupported_claims],0.5348139255702289,0.3282752555484475,0.8712991008292006,0.011963576475408084,0.11802470149445396,1.8164739423077551e-07,0.13159934122948894
detected,Qwen/Qwen2.5-3B-Instruct,cond[confident],0.958864664747018,0.653809003187083,1.4062538766192625,0.8297714143157524,0.932929062539336,0.7921732184295984,1.0
detected,Qwen/Qwen2.5-3B-Instruct,cond[confident_extra_neutral],0.5912300260126346,0.38235549559222276,0.9142092834771083,0.018112474012204945,0.4439761420166388,0.003286686829771763,0.18112474012204946
detected,Qwen/Qwen2.5-3B-Instruct,cond[unsupported_claims],0.3303571428571428,0.15700732308235765,0.6951003284062606,0.0035202399295834433,0.19949681870083058,1.6990440395184786e-07,0.04576311908458476
detected,Qwen/Qwen2.5-7B-Instruct,cond[confident],0.8006134969325153,0.6171331680353757,1.0386445011715333,0.09404034132384506,0.4017537127374743,0.01780608605197388,0.673640937732006
detected,Qwen/Qwen2.5-7B-Instruct,cond[confident_extra_neutral],0.5161290322580645,0.3388446664532443,0.7861690158148144,0.002066589937913037,0.09592740659184848,8.012468161989677e-09,0.02893225913078252
detected,Qwen/Qwen2.5-7B-Instruct,cond[unsupported_claims],0.484126984126984,0.3257749606109819,0.7194504338833098,0.0003318660949006348,0.07973573119768701,7.770810046610524e-10,0.005669404574163359
detected,google/gemma-2-9b-it,cond[confident],0.7721265153586719,0.5757199213125279,1.0355371312508241,0.08420511721650074,0.3040848555288398,0.019091594662005017,0.673640937732006
detected,google/gemma-2-9b-it,cond[confident_extra_neutral],0.6456727788112306,0.46264093551035423,0.9011164064803903,0.010106382497571054,0.13106025616897374,0.0002540535806110971,0.12127658997085265
detected,google/gemma-2-9b-it,cond[unsupported_claims],0.5850803633822486,0.3698578978235517,0.9255420355490538,0.021984800256251918,0.08208047439825188,1.9915755735966406e-05,0.19786320230626725
detected,meta-llama/Meta-Llama-3.1-8B-Instruct,cond[confident],0.5449135335713778,0.37248013288017257,0.7971720713619058,0.0017612256155835363,0.24086237243836256,4.509192623444994e-05,0.026418384233753044
detected,meta-llama/Meta-Llama-3.1-8B-Instruct,cond[confident_extra_neutral],0.3850551788326012,0.2283652180131825,0.64925601208345,0.0003431130872034071,0.1099329150770609,1.2158488966915837e-08,0.005669404574163359
detected,meta-llama/Meta-Llama-3.1-8B-Instruct,cond[unsupported_claims],0.4129092860976911,0.25519232676187215,0.6681003332235701,0.00031496692078685325,0.12887669184027192,6.054302836636124e-08,0.005669404574163359
