model,d_prime_hedged,d_prime_claims,delta_d_prime,delta_d_lo,delta_d_hi,criterion_hedged,criterion_claims,delta_criterion,delta_c_lo,delta_c_hi,reading
Qwen/Qwen2.5-14B-Instruct,0.1402,0.3667,0.2265,-0.2342,0.707,-1.1803,-0.6827,0.4976,0.2684,0.8283,criterion shift (lower bar)
Qwen/Qwen2.5-32B-Instruct,0.6599,0.8293,0.1694,-0.3241,0.643,-0.818,-0.2136,0.6044,0.4061,0.8577,criterion shift (lower bar)
Qwen/Qwen2.5-3B-Instruct,-0.0347,-0.094,-0.0593,-0.4207,0.3064,-0.5394,0.5691,1.1085,0.8442,1.435,criterion shift (lower bar)
Qwen/Qwen2.5-7B-Instruct,0.4229,0.3126,-0.1103,-0.4242,0.2133,0.0409,0.667,0.6261,0.4144,0.8932,criterion shift (lower bar)
google/gemma-2-9b-it,0.3294,0.1752,-0.1542,-0.4149,0.1099,0.5004,1.0603,0.5599,0.3362,0.8579,criterion shift (lower bar)
meta-llama/Meta-Llama-3.1-8B-Instruct,0.366,0.4216,0.0556,-0.303,0.5098,0.5721,1.2671,0.695,0.4504,1.0652,criterion shift (lower bar)
