model,d_prime_belief_hedged,d_prime_belief_claims,delta_d_belief,delta_d_lo,delta_d_hi,auc_hedged,auc_claims,delta_auc,delta_auc_lo,delta_auc_hi,level_hedged,level_claims,delta_level,delta_level_lo,delta_level_hi,reading
Qwen/Qwen2.5-14B-Instruct,0.8263,0.6523,-0.1741,-0.4299,0.059,0.7496,0.742,-0.0076,-0.0408,0.0252,0.1794,0.0947,-0.0846,-0.1306,-0.0479,uniform belief drop (lower bar)
Qwen/Qwen2.5-32B-Instruct,1.0573,1.0384,-0.019,-0.2485,0.1995,0.772,0.7562,-0.0158,-0.0436,0.0136,0.3377,0.2826,-0.0551,-0.096,-0.0208,uniform belief drop (lower bar)
Qwen/Qwen2.5-3B-Instruct,0.0106,0.1261,0.1154,-0.3313,0.2463,0.4872,0.4996,0.0124,-0.026,0.0608,0.0475,0.0009,-0.0466,-0.0846,-0.0188,uniform belief drop (lower bar)
Qwen/Qwen2.5-7B-Instruct,0.6787,0.6018,-0.077,-0.2389,0.0645,0.6756,0.6636,-0.012,-0.0468,0.022,0.1533,0.09,-0.0632,-0.0918,-0.0401,uniform belief drop (lower bar)
google/gemma-2-9b-it,0.4779,0.4344,-0.0435,-0.1986,0.1046,0.646,0.6328,-0.0132,-0.0436,0.0172,0.4874,0.3878,-0.0995,-0.1396,-0.0634,uniform belief drop (lower bar)
meta-llama/Meta-Llama-3.1-8B-Instruct,0.5143,0.4999,-0.0144,-0.1192,0.0701,0.6248,0.6072,-0.0176,-0.0548,0.0164,0.2391,0.1668,-0.0723,-0.0884,-0.0564,uniform belief drop (lower bar)
